district,month,no2_mean,ndvi,ndbi,pressure,precip,wind_speed,temp_c
North Delhi,7,6.044471325060563e-05,0.2418912067668179,-0.10788664672432935,97657.2279521886,0.26506662475962806,1.3484891725976187,29.135432408191434
North East Delhi,7,7.921092664794655e-05,0.20797270931069917,-0.015233418971239926,97649.42207002704,0.275582926606688,1.3662806049206309,28.99699557290745
North West Delhi,7,6.437292561008376e-05,0.28835310057723246,-0.0636029339554541,97675.7908914274,0.2702822593029717,1.2789520628857756,29.227329537459184
Shahdara,7,9.740767565420003e-05,0.17651416595639446,-0.002144722978073276,97652.97439376774,0.27554167315227596,1.3684171468396442,28.980767170382137
South Delhi,7,5.57509807569117e-05,0.5389583930268681,-0.13838192042994635,97366.22275669435,0.2938064229556541,1.2556308903030893,28.987313447819474
South East Delhi,7,6.675180683344149e-05,0.3134346488725374,-0.05749990275593464,97579.26762102774,0.2835195965067507,1.3081150793731038,29.006018337712646
South West Delhi,7,5.711797659947179e-05,0.36909819697011265,-0.09224388517855095,97671.45937320794,0.2775218817742669,1.1792092096930236,29.372114507438198
West Delhi,7,6.817969173653649e-05,0.24000461484525148,-0.023765282080252286,97683.71890660435,0.27109526221248004,1.2872582053874817,29.211173389510975
Central Delhi,8,6.536903228440058e-05,0.3135566096446913,-0.0832386115252038,97688.75135140833,0.05446310658183791,1.791301058749433,29.763378826743804
East Delhi,8,8.104171753206561e-05,0.3207399036224788,-0.0987156795367604,97680.72738444916,0.06216753159979037,1.7481159797181494,29.64905226300459
New Delhi,8,6.530370662254715e-05,0.4966621687932823,-0.13514826333839283,97609.48926920685,0.04892199550581789,1.9092499798500817,29.833079894918342
North Delhi,8,4.36816274439732e-05,0.4440685010738837,-0.12032162884799323,97699.99915389248,0.04493735591525463,1.8355245623065377,29.93710991133679
North East Delhi,8,6.179013203180171e-05,0.21108395329417892,-0.020559066400300273,97691.2214987293,0.05980262781158615,1.7467795333189826,29.687673335598618
North West Delhi,8,4.6291698013328074e-05,0.3188344688661476,-0.048933836459182596,97723.16808824043,0.04143303675874297,1.9259323844848069,30.051496191452657
Shahdara,8,7.544400932857867e-05,0.24053804479157265,-0.017592537107511914,97694.17750512667,0.062111180162312374,1.726747105018048,29.65369473701628
South Delhi,8,6.021646077234415e-05,0.57028973572843,-0.16208515629273001,97420.16479020864,0.05276266874785823,1.9441863799230097,29.644157241964592
South East Delhi,8,7.663766704543529e-05,0.39878352423951,-0.10069166641134378,97627.69765084964,0.06068970026011574,1.8271675775288259,29.652378823533752
South West Delhi,8,4.771513171511258e-05,0.39329235895207076,-0.06944051343072578,97725.91337253654,0.036585996260605755,2.053761353871698,30.20282549770468
West Delhi,8,5.556261044640765e-05,0.29590420153561187,-0.03713316479598816,97730.94196773876,0.042419533597009174,1.9180400039818941,30.03180066820636
Central Delhi,9,9.521223293876723e-05,0.2152920002596742,-0.031244958478930416,97989.76746556464,0.08356666954362972,0.5176307699229485,28.800610723126056
East Delhi,9,0.00011021363733089852,0.18560589663879606,-0.02986803140622386,97980.52857029006,0.09046579371060436,0.5089385943095469,28.619560074495666
New Delhi,9,9.605543206886575e-05,0.49461197479451807,-0.11730776158437903,97905.65618533446,0.08723198287114722,0.5522276629050956,28.841404792659432
North Delhi,9,6.309611752999285e-05,0.4312908246528956,-0.08649801087369849,98003.72395039804,0.08173575330683498,0.5244847493127809,28.9254254754548
North East Delhi,9,8.348245916539686e-05,0.08325374074154213,0.03287577142121188,97992.45376018701,0.08626346480041684,0.5037302797936136,28.671410164941108
North West Delhi,9,6.764879942399497e-05,0.3393822242804813,-0.03205407546377094,98023.99602060133,0.08777257224302511,0.548150835350791,29.011981417484265
Shahdara,9,9.853665145237611e-05,0.05154950758650498,0.051815163063579306,97995.54925439504,0.08785229644807006,0.49842415472093327,28.629090135045544
South Delhi,9,8.541494503496523e-05,0.5527215937907008,-0.13483652819657171,97710.26899174598,0.09438722826790522,0.5651006122724046,28.639216425519294
South East Delhi,9,0.00011165120965134407,0.26162679694401036,-0.06704718421693692,97922.49980763267,0.09725513224243025,0.5447296240366422,28.61513214595732
South West Delhi,9,6.44425072813346e-05,0.41794602938487196,-0.06054355904343204,98021.66107085212,0.08388569126766306,0.56713169447774,29.167826707710958
West Delhi,9,7.978935207706698e-05,0.31686535008901817,-0.03013007896013305,98031.63353535804,0.08732588288408438,0.5478870219735097,29.00471894251939
Central Delhi,10,0.00012705657568022402,0.33284055698298115,-0.0742441556159899,98680.54316240895,0.005939748747733112,1.3031653583645426,25.58088430872135
East Delhi,10,0.00016579394263624008,0.3383997466675905,-0.08699451884180398,98669.95263280817,0.0060806259813443245,1.2808804789181925,25.364490152598762
New Delhi,10,0.00013061190158149288,0.4582705540814676,-0.11116069928462996,98596.80137905103,0.00904400003792778,1.329687212546015,25.663352224314735
North Delhi,10,8.442189538287515e-05,0.3588274365062992,-0.04218540639907267,98696.41073345688,0.007265759217195908,1.3212007279292821,25.631928967115243
North East Delhi,10,0.00010958173230619028,0.24693198035374722,-0.022224815201728476,98682.27324425704,0.0055109587943534405,1.2850541984730148,25.41933759854004
North West Delhi,10,9.693220528536786e-05,0.29414662378995976,-0.012254900426414556,98718.94673678944,0.010300296857691111,1.3352931787275792,25.710550386445163
Shahdara,10,0.00013638878991956754,0.24053457521251212,-0.02744599466122874,98685.00318577632,0.005342648700856646,1.2764577781806739,25.363275621452715
South Delhi,10,0.00011382885233429239,0.544699752632689,-0.14450240531791184,98397.55443728225,0.010288969585859661,1.3287218318606142,25.510347263315907
South East Delhi,10,0.00015592540247243275,0.3832286795593575,-0.0969730723050738,98611.97162613407,0.008233373227482892,1.2964719465431187,25.40634207659599
South West Delhi,10,8.50260606995102e-05,0.34607639080212754,-0.024971215965747067,98719.32403234382,0.011739692910334165,1.3123022005116993,25.85049217296927
West Delhi,10,0.00011097468132890378,0.2835587499402921,-0.030669227296999117,98726.47495265638,0.009939926026179498,1.3359811326209012,25.723268532648717
Central Delhi,11,0.00017367267385194211,0.22490901219401738,-0.09858042665116992,99090.84380292313,0.008981652951606451,0.763210755559525,20.972462538649836
East Delhi,11,0.00019342815740777168,0.23250201405421755,-0.12075393194689225,99079.69642637992,0.007851727186766229,0.7684432720721392,20.862864089176583
