district,year,month,no2_mean,ndvi,ndbi,pressure,precip,wind_speed,temp_c
South Delhi,2021,12,0.0001449230949968063,0.3612087233756644,-0.11802528691096416,99017.87866685879,0.015695436889318737,1.1640705773589186,14.612632822563171
South East Delhi,2021,12,0.00022744737311958547,0.22592171295272148,-0.09345520201230452,99243.68122569844,0.014612985786672236,1.2024678352739413,14.627839480164255
South West Delhi,2021,12,0.00010111133995214998,0.4274704654972071,-0.19097796372683268,99359.87975269658,0.011739233249206737,0.9930911954046372,14.711243253526845
West Delhi,2021,12,0.0001653464323413768,0.20447469397671086,-0.06588375283606382,99361.42292424639,0.011165330173180756,1.1235215404824137,14.59634648920013
Central Delhi,2022,1,0.00022589081382004528,0.33620694689264324,-0.08408270044167211,99099.31443582506,0.09243174884037021,0.7127387014395482,12.737905594209735
East Delhi,2022,1,0.00036681484094173126,0.29329023390944375,-0.08555941418415972,99090.06989971497,0.08693855800145411,0.7042360776390145,12.751110599674917
New Delhi,2022,1,0.0002263709172959304,0.4246811449940335,-0.06218419928116967,99010.47403679794,0.09132378481826767,0.6923237687787448,12.750299917939799
North Delhi,2022,1,0.0001004851400088405,0.4753257482743969,-0.16216332693245034,99119.77962265743,0.09969410783178431,0.7157157606098714,12.701965296929814
North East Delhi,2022,1,0.00019877589992339602,0.25787608011999824,-0.06094464016383003,99098.99973860463,0.08972043049715867,0.7131044911894858,12.739775991116232
North West Delhi,2022,1,0.000133578125238866,0.4099172219712281,-0.1490931835084645,99140.5171443386,0.09884657469892562,0.6943851998205255,12.735908058231587
Shahdara,2022,1,0.0002820664000195553,0.201204135917071,-0.01855502546191038,99103.40970874472,0.08851131815541571,0.7122923085274621,12.740900264276547
South Delhi,2022,1,0.00018380602317974866,0.4711346748504034,-0.05524302894508862,98807.38176166033,0.08537740624824225,0.6896320611582256,12.701808025344576
South East Delhi,2022,1,0.0003245113110100445,0.33757849218333474,-0.04524618121595396,99034.91273881528,0.08330317037967083,0.6844007015454298,12.770155127037526
South West Delhi,2022,1,0.00010094680322407885,0.5392582872526046,-0.23404992055574358,99147.71708806966,0.09656101494595999,0.637897089530174,12.816099728318648
West Delhi,2022,1,0.00018746517769577733,0.28990092224347697,-0.05582754858221999,99149.30698542063,0.09818849647100147,0.6968881738646605,12.74098726931578
Central Delhi,2022,2,0.00022307804101498748,0.3230817555915605,-0.0679912806794909,98835.29120475492,0.03702644578233657,0.5342270910354258,15.533478646503738
East Delhi,2022,2,0.000301156384733821,0.28682511170090763,-0.062439293440271215,98826.70835947122,0.03766440960759528,0.5381070020608749,15.51530950386541
New Delhi,2022,2,0.00019449270081246166,0.392126580614104,-0.039086336354393535,98746.2767652332,0.029031850680097754,0.5338618584517343,15.657338817407094
North Delhi,2022,2,0.00012419159770005728,0.46105085268572393,-0.1524368685802541,98854.87422111651,0.0370051225632236,0.5227232144325914,15.513767123958985
North East Delhi,2022,2,0.00021564112536849304,0.244420003608746,-0.04248935700005046,98835.48958446205,0.038906158842324796,0.5376043058867553,15.505514752815259
North West Delhi,2022,2,0.00013810437900714997,0.4004311187943937,-0.12183219753961884,98874.22202364917,0.031100477043357257,0.5158135842599344,15.63109937270093
Shahdara,2022,2,0.0002836822194251506,0.18880424016434355,-0.00033863227961289876,98840.07079252372,0.03975937386469788,0.5387467983036696,15.491784080569914
South Delhi,2022,2,0.00015526344187974516,0.42339972021223854,-0.025887830421292984,98545.45260208203,0.024397922547673225,0.5418165621046068,15.638997799226615
South East Delhi,2022,2,0.00023985672771520265,0.3073489533280189,-0.028696908628381267,98771.46655572383,0.030888453133313978,0.5381592483930606,15.589180677764261
South West Delhi,2022,2,9.109103849448767e-05,0.48632661737082095,-0.17905279618109834,98879.24252831335,0.02380733402414895,0.49355137920755604,15.845645875494426
West Delhi,2022,2,0.00015972020334049168,0.2783584400157501,-0.032740248741708056,98883.03276473102,0.03124952030745207,0.5191320061477059,15.63368925482149
